Start_time,End_time,Start_frame,End_frame
1010.82,1011.5,60,77
1011.79,1012.48,84,101
1012.62,1015.84,105,185
1019.01,1020.62,264,305
1020.86,1024.93,311,412
1025.23,1028.82,420,510
1029.92,1030.7,537,557
1031.28,1032.22,571,595
1032.86,1036.54,611,703
1078.27,1079.84,1746,1785
1233.97,1234.8,5638,5659
1252.38,1253.66,6099,6131
1304.59,1305.39,7404,7424
1326.7,1327.98,7957,7989
1355.86,1356.86,8686,8711
1568.24,1580.21,13995,14294
1581.89,1584.3,14336,14397
1585.39,1591.94,14424,14588
1622.05,1625.97,15340,15438
1659.3,1672.18,16272,16594
1694.56,1703.63,17153,17380
1704.42,1707.71,17400,17482
1712.11,1714.4,17592,17649
1716.8,1726.42,17709,17950
1749.49,1757.3,18526,18722
1757.98,1759.84,18739,18785
1777.25,1781.54,19220,19328
1790.08,1800.1,19541,19792
1811.98,1819.62,20089,20280
1829.3,1829.97,20522,20538
1829.97,1830.78,20538,20559
1831.34,1838.29,20573,20746
1839.86,1841.97,20786,20838
1867.55,1876.03,21478,21690
1886.13,1887.17,21942,21968
1909.58,1913.34,22529,22623
1942.13,1947.3,23342,23472
1954.62,1960.02,23655,23790
1983.44,1995.25,24375,24670
1995.54,1998.91,24678,24762
1999.25,2000.62,24770,24805
2002.59,2003.66,24854,24881
2004.19,2008.56,24894,25003
2010.82,2016.02,25060,25190
2028.42,2031.84,25500,25585
2031.84,2032.98,25585,25614
2035.22,2036.16,25670,25693
2044.46,2047.44,25901,25975
2054.94,2064.05,26163,26390
2066.02,2066.88,26440,26461
2076.69,2078.85,26706,26760
2084.96,2093.58,26913,27129
2096.53,2097.74,27202,27233
2099.82,2100.67,27285,27306
2100.74,2102.83,27308,27360
2108.67,2109.62,27506,27530
2119.28,2120.43,27771,27800
2123.14,2124.91,27868,27912
2127.09,2129.01,27966,28014
2283.2,2290.72,31869,32057
2295.65,2298.38,32180,32249
2330.85,2331.52,33060,33077
2332.8,2333.95,33109,33138
2334.58,2335.52,33154,33177
2343.74,2344.74,33383,33408
2363.76,2368.19,33883,33994
2369.31,2370.91,34022,34062
2371.14,2372.62,34068,34105
2373.26,2378.78,34121,34259
2385.02,2389.73,34415,34532
2396.54,2398.3,34703,34747
2407.12,2410.14,34967,35043
2410.43,2411.36,35050,35073
2412.24,2412.91,35095,35112
2418.77,2420.42,35258,35300
2424.8,2428.05,35409,35490
2434.69,2437.7,35656,35732
2445.78,2450.53,35934,36052
2453.58,2454.48,36129,36151
2454.64,2455.49,36155,36176
2456.7,2458.75,36207,36258
2458.99,2460.32,36264,36297
2460.32,2461.36,36297,36323
2462.48,2465.82,36351,36435
2478.56,2481.12,36753,36817
2482.16,2484.42,36843,36900
2491.1,2494.82,37067,37160
2502.06,2504.4,37341,37399
2510.98,2511.95,37564,37588
2519.01,2521.79,37764,37834
2527.79,2529.12,37984,38017
2538.5,2540.29,38252,38296
2545.41,2550.5,38424,38552
2628.06,2629.86,40491,40536
2632.4,2633.07,40599,40616
2640.26,2649.09,40796,41016
2691.62,2692.91,42080,42112
2715.07,2716.75,42666,42708
2752.42,2756.8,43600,43709
2769.41,2770.88,44024,44061
2783.44,2788.88,44375,44511
2789.81,2790.94,44534,44563
2795.1,2796,44667,44689
2800.53,2802.21,44802,44844
2804.1,2805.3,44892,44922
2805.79,2807.1,44934,44967
2807.12,2809.76,44967,45033
2811.26,2812.06,45071,45091
2816.03,2816.74,45190,45208
2818.74,2823.38,45258,45374
2823.44,2825.58,45375,45429
2843.79,2845.31,45884,45922